ts,model,in_tokens,out_tokens,in_cost,out_cost,cost_usd,latency_ms,time_to_first_token,tag
2026-04-25 11:24:18,gpt-5-nano,23,398,1.15e-06,0.00015920000000000002,0.00016035000000000002,7.1508322499576025,7.1508322499576025,gpt-5-nano
2026-04-25 11:24:25,gpt-5-nano,23,521,1.15e-06,0.00020840000000000002,0.00020955000000000002,6.437214000034146,5.6895035420311615,gpt-5-nano
2026-04-25 11:28:16,gpt-5-nano,23,328,1.15e-06,0.00013120000000000002,0.00013235000000000002,5.658501790952869,5.658501790952869,gpt-5-nano
2026-04-25 11:28:19,gpt-5-nano,23,258,1.15e-06,0.00010320000000000001,0.00010435000000000002,3.0658125419868156,2.5793127499637194,gpt-5-nano
2026-04-25 11:28:25,gpt-5-nano,23,454,1.15e-06,0.00018160000000000002,0.00018275000000000002,5.802031458995771,5.802031458995771,gpt-5-nano
2026-04-25 11:28:29,gpt-5-nano,23,326,1.15e-06,0.0001304,0.00013155,3.9716907080146484,3.479060625017155,gpt-5-nano
2026-04-25 11:28:34,gpt-5-nano,23,513,1.15e-06,0.00020520000000000003,0.00020635000000000003,5.471235125034582,5.471235125034582,gpt-5-nano
2026-04-25 11:28:39,gpt-5-nano,23,526,1.15e-06,0.00021040000000000002,0.00021155000000000002,4.506670749979094,3.8068123750272207,gpt-5-nano
2026-04-25 11:28:43,gpt-5-nano,23,580,1.15e-06,0.00023200000000000003,0.00023315000000000003,4.748029082955327,4.748029082955327,gpt-5-nano
2026-04-25 11:28:47,gpt-5-nano,23,519,1.15e-06,0.0002076,0.00020875,3.4027674999670126,3.0514156249701045,gpt-5-nano
2026-04-25 11:28:51,gpt-5-nano,23,378,1.15e-06,0.00015120000000000002,0.00015235000000000002,4.611703084025066,4.611703084025066,gpt-5-nano
2026-04-25 11:28:57,gpt-5-nano,23,584,1.15e-06,0.0002336,0.00023475000000000001,5.620832916989457,4.971331749984529,gpt-5-nano
2026-04-25 11:29:02,gpt-5-nano,23,406,1.15e-06,0.00016240000000000002,0.00016355000000000002,4.6483022079919465,4.6483022079919465,gpt-5-nano
2026-04-25 11:29:07,gpt-5-nano,23,509,1.15e-06,0.00020360000000000002,0.00020475000000000002,4.859878167044371,4.312560584046878,gpt-5-nano
2026-04-25 11:29:12,gpt-5-nano,23,389,1.15e-06,0.00015560000000000001,0.00015675000000000002,5.004288290976547,5.004288290976547,gpt-5-nano
2026-04-25 11:29:15,gpt-5-nano,23,338,1.15e-06,0.0001352,0.00013635,3.3976974160177633,2.8361099580070004,gpt-5-nano
2026-04-25 11:29:21,gpt-5-nano,23,452,1.15e-06,0.0001808,0.00018195,5.650336832972243,5.650336832972243,gpt-5-nano
2026-04-25 11:29:24,gpt-5-nano,23,443,1.15e-06,0.00017720000000000002,0.00017835000000000003,3.3998352919588797,3.06279195897514,gpt-5-nano
2026-04-25 11:29:29,gpt-5-nano,23,591,1.15e-06,0.00023640000000000003,0.00023755000000000003,5.14653729199199,5.14653729199199,gpt-5-nano
2026-04-25 11:29:33,gpt-5-nano,23,387,1.15e-06,0.00015480000000000002,0.00015595000000000002,3.8750389160122722,3.365779875020962,gpt-5-nano
2026-04-25 11:29:38,gpt-5-nano,23,529,1.15e-06,0.00021160000000000002,0.00021275000000000002,5.3689225419657305,5.3689225419657305,gpt-5-nano
2026-04-25 11:29:41,gpt-5-nano,23,314,1.15e-06,0.00012560000000000002,0.00012675000000000002,2.8034210830228403,2.4348366670310497,gpt-5-nano
2026-04-25 11:29:47,gpt-5-nano,23,593,1.15e-06,0.00023720000000000002,0.00023835000000000002,6.060797500016633,6.060797500016633,gpt-5-nano
2026-04-25 11:29:52,gpt-5-nano,23,581,1.15e-06,0.0002324,0.00023355,4.825176207988989,4.336055291991215,gpt-5-nano
2026-04-25 11:30:01,gpt-5-nano,23,701,1.15e-06,0.00028040000000000004,0.00028155000000000004,9.219417750020511,9.219417750020511,gpt-5-nano
2026-04-25 11:30:06,gpt-5-nano,23,449,1.15e-06,0.00017960000000000003,0.00018075000000000003,4.565129708033055,4.103572875028476,gpt-5-nano
2026-04-25 11:30:12,gpt-5-nano,23,516,1.15e-06,0.00020640000000000003,0.00020755000000000003,5.938085542002227,5.938085542002227,gpt-5-nano
2026-04-25 11:30:17,gpt-5-nano,23,517,1.15e-06,0.0002068,0.00020795,4.816999499977101,4.266981999971904,gpt-5-nano
